Net,Total Net Load,Static Prob.,Toggle rate,Switching Power,Class,RC
n_44,0.243,0.422,0.1588,0.0095,0,4.58E-03
n_45,0.243,0.553,0.1467,0.0087,0,4.58E-03
n_46,0.243,0.562,0.1449,0.0086,0,4.58E-03
n_47,0.243,0.562,0.1459,0.0087,0,4.58E-03
n_48,0.243,0.634,0.1812,0.0108,0,4.58E-03
n_49,0.243,0.737,0.1459,0.0087,0,4.58E-03
n_50,0.243,0.74,0.1457,0.0087,0,4.58E-03
n_51,0.243,0.738,0.1472,0.0088,0,4.58E-03
n_52,0.243,0.752,0.1793,0.0107,0,4.58E-03
n_53,0.243,0.817,0.1366,0.0081,0,4.58E-03
n_54,0.243,0.815,0.1374,0.0082,0,4.58E-03
n_55,0.243,0.822,0.1315,0.0078,0,4.58E-03
n_56,0.243,0.727,0.1914,0.0114,0,4.58E-03
n_57,0.243,0.713,0.1943,0.0116,0,4.58E-03
n_58,0.243,0.715,0.1918,0.0114,0,4.58E-03
n_59,0.243,0.716,0.1903,0.0113,0,4.58E-03
N0,0.243,0.255,0.0956,0.0057,0,4.58E-03
N10,0.243,0.256,0.0987,0.0059,0,4.58E-03
N100,0.243,0.142,0.109,0.0065,0,4.58E-03
N101,0.243,0.148,0.1165,0.0069,0,4.58E-03
N103,0.243,0.147,0.1165,0.0069,0,4.58E-03
N104,0.243,0.154,0.1154,0.0069,0,4.58E-03
N106,0.243,0.141,0.1135,0.0068,0,4.58E-03
N107,0.243,0.118,0.1042,0.0062,0,4.58E-03
N109,0.243,0.123,0.104,0.0062,0,4.58E-03
N110,0.243,0.479,0.2508,0.0149,0,4.58E-03
N111,0.243,0.513,0.2529,0.0151,0,4.58E-03
N113,0.243,0.504,0.2502,0.0149,0,4.58E-03
N114,0.243,0.5,0.1,0.006,0,4.58E-03
N116,0.243,0.5,0.1,0.006,0,4.58E-03
N117,0.243,0.5,0.1,0.006,0,4.58E-03
N118,0.243,0.5,0.1,0.006,0,4.58E-03
N119,0.544,0.5,0.1,0.0133,0,2.29E-02
N12,0.243,0.248,0.0984,0.0059,0,4.58E-03
N120,0.243,0.5,0.1,0.006,0,4.58E-03
N121,0.243,0.5,0.1,0.006,0,4.58E-03
N122,0.243,0.5,0.1,0.006,0,4.58E-03
N123,0.544,0.5,0.1,0.0133,0,2.29E-02
N124,0.243,0.5,0.1,0.006,0,4.58E-03
N125,0.243,0.5,0.1,0.006,0,4.58E-03
N126,0.243,0.5,0.1,0.006,0,4.58E-03
N127,0.544,0.5,0.1,0.0133,0,2.29E-02
N128,0.243,0.5,0.1,0.006,0,4.58E-03
N129,0.243,0.5,0.1,0.006,0,4.58E-03
N13,0.243,0.438,0.1285,0.0077,0,4.58E-03
N130,0.243,0.5,0.1,0.006,0,4.58E-03
N131,0.544,0.5,0.1,0.0133,0,2.29E-02
N132,0.243,0.5,0.1,0.006,0,4.58E-03
N133,0.243,0.5,0.1,0.006,0,4.58E-03
N134,0.243,0.5,0.1,0.006,0,4.58E-03
N135,0.544,0.5,0.1,0.0133,0,2.29E-02
N136,0.243,0.5,0.1,0.006,0,4.58E-03
N137,0.243,0.5,0.1,0.006,0,4.58E-03
N138,0.243,0.5,0.1,0.006,0,4.58E-03
N139,0.544,0.5,0.1,0.0133,0,2.29E-02
N140,0.243,0.5,0.1,0.006,0,4.58E-03
N141,0.243,0.5,0.1,0.006,0,4.58E-03
N142,0.243,0.5,0.1,0.006,0,4.58E-03
N143,0.544,0.5,0.1,0.0133,0,2.29E-02
N144,0.243,0.5,0.1,0.006,0,4.58E-03
N145,0.243,0.5,0.1,0.006,0,4.58E-03
N146,0.243,0.5,0.1,0.006,0,4.58E-03
N147,0.544,0.5,0.1,0.0133,0,2.29E-02
N148,0.243,0.5,0.1,0.006,0,4.58E-03
N149,0.243,0.5,0.1,0.006,0,4.58E-03
N15,0.243,0.447,0.1338,0.008,0,4.58E-03
N150,0.243,0.5,0.1,0.006,0,4.58E-03
N151,0.544,0.5,0.1,0.0133,0,2.29E-02
N152,0.243,0.5,0.1,0.006,0,4.58E-03
N153,0.243,0.5,0.1,0.006,0,4.58E-03
N154,0.544,0.745,0.0956,0.0127,0,2.29E-02
N155,0.243,0.5,0.1,0.006,0,4.58E-03
N156,0.243,0.5,0.1,0.006,0,4.58E-03
N157,0.243,0.251,0.0944,0.0056,0,4.58E-03
N158,0.243,0.248,0.0968,0.0058,0,4.58E-03
N159,0.544,0.75,0.0978,0.013,0,2.29E-02
N16,0.243,0.448,0.1333,0.0079,0,4.58E-03
N160,0.243,0.5,0.1,0.006,0,4.58E-03
N161,0.243,0.5,0.1,0.006,0,4.58E-03
N162,0.544,0.755,0.0955,0.0127,0,2.29E-02
N163,0.243,0.5,0.1,0.006,0,4.58E-03
N164,0.243,0.5,0.1,0.006,0,4.58E-03
N165,0.544,0.735,0.0995,0.0132,0,2.29E-02
N166,0.243,0.5,0.1,0.006,0,4.58E-03
N167,0.243,0.5,0.1,0.006,0,4.58E-03
N168,0.544,0.758,0.0969,0.0129,0,2.29E-02
N169,0.243,0.5,0.1,0.006,0,4.58E-03
N170,0.243,0.5,0.1,0.006,0,4.58E-03
N171,0.544,0.747,0.0993,0.0132,0,2.29E-02
N172,0.243,0.5,0.1,0.006,0,4.58E-03
N173,0.243,0.5,0.1,0.006,0,4.58E-03
N174,0.544,0.75,0.0988,0.0132,0,2.29E-02
