Net,Total Net Load,Static Prob.,Toggle rate,Switching Power,Class,RC
n_74,0.544,0.251,0.6064,0.0808,0,2.29E-02
n_76,0.544,0.249,0.6072,0.0809,0,2.29E-02
n_78,0.544,0.247,0.602,0.0802,0,2.29E-02
n_80,0.544,0.255,0.6131,0.0816,0,2.29E-02
N250,0.243,0.509,0.1907,0.0114,0,4.58E-03
N251,0.243,0.5,0.1919,0.0114,0,4.58E-03
N252,0.243,0.483,0.191,0.0114,0,4.58E-03
N253,0.243,0.495,0.1903,0.0113,0,4.58E-03
N254,0.243,0.492,0.1906,0.0114,0,4.58E-03
N255,0.243,0.496,0.19,0.0113,0,4.58E-03
N256,0.243,0.495,0.189,0.0113,0,4.58E-03
N257,0.243,0.497,0.1856,0.0111,0,4.58E-03
N258,0.243,0.502,0.1891,0.0113,0,4.58E-03
N259,0.243,0.495,0.1928,0.0115,0,4.58E-03
N260,0.243,0.495,0.1885,0.0112,0,4.58E-03
N261,0.243,0.504,0.1916,0.0114,0,4.58E-03
N262,0.243,0.493,0.1884,0.0112,0,4.58E-03
N263,0.243,0.499,0.191,0.0114,0,4.58E-03
N264,0.243,0.494,0.1917,0.0114,0,4.58E-03
N265,0.243,0.501,0.1882,0.0112,0,4.58E-03
N266,0.243,0.248,0.0988,0.0059,0,4.58E-03
N267,0.243,0.257,0.0975,0.0058,0,4.58E-03
N268,0.243,0.262,0.1028,0.0061,0,4.58E-03
N269,0.243,0.26,0.1003,0.006,0,4.58E-03
N270,0.243,0.249,0.0982,0.0059,0,4.58E-03
N271,0.243,0.26,0.1,0.006,0,4.58E-03
N272,0.243,0.245,0.0968,0.0058,0,4.58E-03
N273,0.243,0.252,0.0996,0.0059,0,4.58E-03
N274,0.243,0.502,0.1886,0.0112,0,4.58E-03
N275,0.243,0.504,0.1882,0.0112,0,4.58E-03
N276,0.243,0.503,0.1929,0.0115,0,4.58E-03
N277,0.243,0.497,0.1915,0.0114,0,4.58E-03
N278,0.243,0.5,0.1894,0.0113,0,4.58E-03
N279,0.243,0.495,0.1881,0.0112,0,4.58E-03
N280,0.243,0.506,0.1896,0.0113,0,4.58E-03
N281,0.243,0.487,0.186,0.0111,0,4.58E-03
N282,0.243,0.507,0.1906,0.0114,0,4.58E-03
N283,0.243,0.491,0.1892,0.0113,0,4.58E-03
N284,0.243,0.498,0.1889,0.0113,0,4.58E-03
N285,0.243,0.476,0.1911,0.0114,0,4.58E-03
N286,0.243,0.504,0.1883,0.0112,0,4.58E-03
N287,0.243,0.502,0.1901,0.0113,0,4.58E-03
N288,0.243,0.49,0.1964,0.0117,0,4.58E-03
