Net,Total Net Load,Static Prob.,Toggle rate,Switching Power,Class,RC
G100,0.243,0.102,0.04,0.0024,0,4.58E-03
G100BF,0.243,0.898,0.04,0.0024,1,4.58E-03
G101,0.243,0,0,0,0,4.58E-03
G101BF,0.243,1,0,0,1,4.58E-03
G103,0.243,0.012,0.0052,0.0003,0,4.58E-03
G103BF,0.243,0.988,0.0052,0.0003,1,4.58E-03
G104,0.243,0.018,0.008,0.0005,0,4.58E-03
G104BF,0.243,0.982,0.008,0.0005,1,4.58E-03
G105,0.243,0.015,0.0058,0.0003,0,4.58E-03
G105BF,0.243,0.985,0.0058,0.0003,1,4.58E-03
G106,0.243,0,0,0,0,4.58E-03
G106BF,0.243,1,0,0,1,4.58E-03
G107,0.243,0.002,0.001,5.82E-05,1,4.58E-03
G110,2.362,0.5,0.1,0.0579,0,4.32E-01
G122,0.243,0,0,0,0,4.58E-03
G125,0.243,0.04,0.0229,0.0014,0,4.58E-03
G126,0.243,0.055,0.0251,0.0015,0,4.58E-03
G127,0.243,0.041,0.0233,0.0014,0,4.58E-03
G128,0.243,0,0,0,0,4.58E-03
G129,0.243,0.008,0.0037,0.0002,0,4.58E-03
G130,0.243,0.019,0.008,0.0005,0,4.58E-03
G131,0.243,0.014,0.0056,0.0003,0,4.58E-03
G132,0.243,0,0,0,0,4.58E-03
G133,0.243,0.415,0.1201,0.0072,0,4.58E-03
G138,0.544,0.85,0.0449,0.006,1,2.29E-02
G139,0.243,0.409,0.1182,0.007,0,4.58E-03
G140,0.243,0.855,0.0454,0.0027,0,4.58E-03
G141,0.243,0.416,0.1179,0.007,0,4.58E-03
G142,0.243,0.841,0.0469,0.0028,0,4.58E-03
G208,0.243,0.595,0.1287,0.0077,0,4.58E-03
G210,0.243,0.593,0.1261,0.0075,0,4.58E-03
G212,0.243,0.596,0.1269,0.0076,0,4.58E-03
G214,0.243,0.598,0.1265,0.0075,0,4.58E-03
G225,0.243,0.5,0.1,0.006,0,4.58E-03
G226,0.243,0.01,0.0044,0.0003,0,4.58E-03
G227,0.243,0.022,0.0086,0.0005,0,4.58E-03
G228,0.243,0.014,0.0056,0.0003,0,4.58E-03
G229,0.544,0,0,0,0,2.29E-02
G230,0.243,0.559,0.1158,0.0069,0,4.58E-03
G231,1.203,0.259,0.0985,0.029,0,1.12E-01
G235,0.243,0.15,0.0449,0.0027,0,4.58E-03
G236,0.243,0.57,0.1151,0.0069,0,4.58E-03
G237,0.243,0.145,0.0454,0.0027,0,4.58E-03
G238,0.243,0.561,0.1142,0.0068,0,4.58E-03
G239,0.243,0.159,0.0469,0.0028,0,4.58E-03
G241,0.243,0.006,0.006,0.0004,0,4.58E-03
G242,0.243,0.014,0.0057,0.0003,0,4.58E-03
G243,0.243,0.023,0.009,0.0005,0,4.58E-03
G244,0.243,0.015,0.0068,0.0004,0,4.58E-03
G245,0.243,0,0,0,0,4.58E-03
G246,0.243,0.063,0.0261,0.0016,0,4.58E-03
G247,0.243,0.064,0.0491,0.0029,0,4.58E-03
G248,0.243,0.065,0.0484,0.0029,0,4.58E-03
G249,0.243,0.012,0.0031,0.0002,0,4.58E-03
G250,0.243,0,0,0,0,4.58E-03
G252,0.243,0.054,0.0221,0.0013,0,4.58E-03
G254,0.243,0.062,0.0253,0.0015,0,4.58E-03
G256,0.243,0.006,0.005,0.0003,0,4.58E-03
G257,0.243,0.026,0.02,0.0012,0,4.58E-03
G258,0.243,0.027,0.0192,0.0011,0,4.58E-03
G259,0.243,0.023,0.0187,0.0011,0,4.58E-03
G260,0.243,0,0,0,0,4.58E-03
G261,0.243,0.009,0.0023,0.0001,0,4.58E-03
G262,0.243,0.019,0.008,0.0005,0,4.58E-03
G263,0.243,0.062,0.0476,0.0028,0,4.58E-03
G264,0.243,0.068,0.0493,0.0029,0,4.58E-03
G265,0.243,0.005,0.0053,0.0003,0,4.58E-03
G266,0.243,0,0,0,0,4.58E-03
G267,0.243,0,0,0,0,4.58E-03
G270,0.243,0.49,0.1066,0.0064,0,4.58E-03
G271,0.243,0.04,0.0229,0.0014,0,4.58E-03
G272,0.243,0.055,0.0251,0.0015,0,4.58E-03
G273,0.243,0.041,0.0233,0.0014,0,4.58E-03
G274,0.243,0,0,0,0,4.58E-03
G275,0.243,0.008,0.0037,0.0002,0,4.58E-03
G276,0.243,0.019,0.008,0.0005,0,4.58E-03
G277,0.243,0.014,0.0056,0.0003,0,4.58E-03
G279,0.243,0.585,0.1201,0.0072,0,4.58E-03
G280,0.243,0.297,0.1176,0.007,0,4.58E-03
G281,0.243,0.309,0.1143,0.0068,0,4.58E-03
G282,0.243,0.301,0.1164,0.0069,0,4.58E-03
G283,0.243,0.291,0.1151,0.0069,0,4.58E-03
G285,0.243,0.591,0.1182,0.007,0,4.58E-03
G287,0.243,0.584,0.1179,0.007,0,4.58E-03
G289,0.243,0.131,0.0734,0.0044,0,4.58E-03
G293,1.565,0,0,0,0,1.89E-01
G298,0.243,0.51,0.1066,0.0064,0,4.58E-03
G300,1.565,0.023,0.0057,0.0022,0,1.89E-01
G303,1.951,0.042,0.0084,0.004,0,2.94E-01
G306,1.565,0.028,0.0068,0.0026,0,1.89E-01
G309,1.565,0,0,0,0,1.89E-01
G312,0.243,0.005,0.0009,5.46E-05,0,4.58E-03
G315,0.243,0.011,0.0026,0.0002,0,4.58E-03
G318,0.243,0.006,0.0021,0.0001,0,4.58E-03
G321,0.243,0,0,0,0,4.58E-03
G324,1.951,0.206,0.045,0.0215,0,2.94E-01
G327,0.243,0.703,0.1176,0.007,0,4.58E-03
G329,0.243,0.691,0.1143,0.0068,0,4.58E-03
G331,0.243,0.699,0.1164,0.0069,0,4.58E-03
G333,0.243,0.709,0.1151,0.0069,0,4.58E-03
G335,1.565,0.29,0.1041,0.0399,0,1.89E-01
G338,1.951,0.205,0.0463,0.0221,0,2.94E-01
G341,1.565,0.285,0.1025,0.0393,0,1.89E-01
G344,1.951,0.219,0.0462,0.0221,0,2.94E-01
G347,1.565,0.28,0.1034,0.0396,0,1.89E-01
G354,0.243,0.658,0.1248,0.0074,0,4.58E-03
G356,0.243,0.661,0.1215,0.0072,0,4.58E-03
G358,0.243,0.647,0.1268,0.0076,0,4.58E-03
G359,0.243,0.643,0.1272,0.0076,0,4.58E-03
G365,1.203,0.5,0.1,0.0295,0,1.12E-01
G366,4.295,0.5,0.1,0.1052,0,1.43E+00
G368,1.203,0.5,0.1,0.0295,0,1.12E-01
G370,0.863,0.72,0.1034,0.0219,0,5.76E-02
G372,0.243,0.781,0.0462,0.0028,0,4.58E-03
G374,0.863,0.715,0.1025,0.0217,0,5.76E-02
G376,0.243,0.795,0.0463,0.0028,0,4.58E-03
G378,0.863,0.71,0.1041,0.022,0,5.76E-02
G379,3.268,0.5,0.1,0.0801,0,8.26E-01
G380,0.243,0.023,0.0057,0.0003,0,4.58E-03
G382,0.243,0.794,0.045,0.0027,0,4.58E-03
G387,0.544,0.5,0.1,0.0133,0,2.29E-02
G390,2.801,0.5,0.1,0.0686,0,6.07E-01
G393,1.565,0.958,0.0084,0.0032,0,1.89E-01
G394,0.243,0.028,0.0068,0.0004,0,4.58E-03
G397,3.268,1,0,0,0,8.26E-01
G64,0.243,0.019,0.0013,8.00E-05,0,4.58E-03
G65,0.243,0.02,0.0012,7.28E-05,0,4.58E-03
G66,0.243,0.026,0.0013,7.82E-05,0,4.58E-03
G67,0.243,0,0,0,0,4.58E-03
G68,0.243,0,0,0,0,4.58E-03
G69,0.243,0.398,0.0165,0.001,0,4.58E-03
G70,0.243,0.82,0.0093,0.0006,0,4.58E-03
G71,0.243,0.402,0.0166,0.001,0,4.58E-03
G72,0.243,0.831,0.0088,0.0005,0,4.58E-03
G73,0.243,0.41,0.0163,0.001,0,4.58E-03
G74,0.243,0.818,0.0096,0.0006,0,4.58E-03
G75,0.243,0.036,0.0022,0.0001,0,4.58E-03
G76,0.243,0.065,0.0026,0.0002,0,4.58E-03
G77,0.243,0.045,0.002,0.0001,0,4.58E-03
G78,0.243,0,0,0,0,4.58E-03
G79,0.243,0.009,0.0006,3.64E-05,0,4.58E-03
G80,0.243,0.02,0.0012,7.28E-05,0,4.58E-03
G81,0.243,0.016,0.0009,5.46E-05,0,4.58E-03
G82,0.243,0,0,0,0,4.58E-03
G83,0.243,0.005,0.002,0.0001,1,4.58E-03
G84,0.243,0.003,0.0016,9.46E-05,1,4.58E-03
G85,0.243,0,0,0,1,4.58E-03
G86,1.203,0.342,0.1248,0.0368,0,1.12E-01
G86BF,0.243,0.658,0.1248,0.0074,1,4.58E-03
G87,1.203,0.339,0.1215,0.0358,0,1.12E-01
G87BF,0.243,0.661,0.1215,0.0072,1,4.58E-03
G88,1.203,0.353,0.1268,0.0374,0,1.12E-01
G88BF,0.243,0.647,0.1268,0.0076,1,4.58E-03
G89,0.863,0.357,0.1272,0.0269,0,5.76E-02
G89BF,0.243,0.643,0.1272,0.0076,1,4.58E-03
G90,0.243,0.257,0.1034,0.0062,1,4.58E-03
G92,0.243,0.067,0.0485,0.0029,0,4.58E-03
G95,0.243,0.137,0.0786,0.0047,0,4.58E-03
G95BF,0.243,0.863,0.0786,0.0047,1,4.58E-03
G96,0.243,0.11,0.0431,0.0026,0,4.58E-03
G96BF,0.243,0.89,0.0431,0.0026,1,4.58E-03
G97,0.243,0.144,0.0782,0.0047,0,4.58E-03
G97BF,0.243,0.856,0.0782,0.0047,1,4.58E-03
G98,0.243,0.103,0.0432,0.0026,0,4.58E-03
G98BF,0.243,0.897,0.0432,0.0026,1,4.58E-03
G99,0.243,0.139,0.0761,0.0045,0,4.58E-03
G99BF,0.243,0.861,0.0761,0.0045,1,4.58E-03
II476,2.801,0.972,0.0068,0.0047,0,6.07E-01
II551,1.203,0.977,0.0057,0.0017,0,1.12E-01
IIII210,0.243,1,0,0,0,4.58E-03
IIII230,0.243,0.96,0.0229,0.0014,0,4.58E-03
IIII237,0.243,0.945,0.0251,0.0015,0,4.58E-03
IIII244,0.243,0.959,0.0233,0.0014,0,4.58E-03
IIII251,0.243,1,0,0,0,4.58E-03
IIII258,0.243,0.992,0.0037,0.0002,0,4.58E-03
IIII265,0.243,0.981,0.008,0.0005,0,4.58E-03
IIII272,0.243,0.986,0.0056,0.0003,0,4.58E-03
IIII279,0.243,1,0,0,0,4.58E-03
