Net,Total Net Load,Static Prob.,Toggle rate,Switching Power,Class,RC
and1,0.243,0.503,0.0249,0.0015,0,4.58E-03
AO,1.203,0.25,0.0987,0.0291,0,1.12E-01
CO,0.243,0.248,0.0247,0.0015,0,4.58E-03
n_44,0.243,0.418,0.1577,0.0094,0,4.58E-03
n_45,0.243,0.56,0.1417,0.0084,0,4.58E-03
n_46,0.243,0.558,0.1452,0.0087,0,4.58E-03
n_47,0.243,0.565,0.145,0.0086,0,4.58E-03
n_48,0.243,0.63,0.1848,0.011,0,4.58E-03
n_49,0.243,0.738,0.1445,0.0086,0,4.58E-03
n_50,0.243,0.736,0.1433,0.0085,0,4.58E-03
n_51,0.243,0.743,0.1449,0.0086,0,4.58E-03
n_52,0.243,0.748,0.177,0.0105,0,4.58E-03
n_53,0.243,0.819,0.1313,0.0078,0,4.58E-03
n_54,0.243,0.812,0.1371,0.0082,0,4.58E-03
n_55,0.243,0.827,0.1346,0.008,0,4.58E-03
n_56,0.243,0.723,0.1876,0.0112,0,4.58E-03
n_57,0.243,0.718,0.1875,0.0112,0,4.58E-03
n_58,0.243,0.712,0.1911,0.0114,0,4.58E-03
n_59,0.243,0.725,0.1906,0.0114,0,4.58E-03
N0,0.243,0.249,0.0957,0.0057,0,4.58E-03
N10,0.243,0.245,0.0964,0.0057,0,4.58E-03
N100,0.243,0.143,0.1092,0.0065,0,4.58E-03
N101,0.243,0.151,0.1152,0.0069,0,4.58E-03
N103,0.243,0.149,0.1192,0.0071,0,4.58E-03
N104,0.243,0.142,0.1127,0.0067,0,4.58E-03
N106,0.243,0.141,0.113,0.0067,0,4.58E-03
N107,0.243,0.123,0.1032,0.0061,0,4.58E-03
N109,0.243,0.113,0.1018,0.0061,0,4.58E-03
N110,0.243,0.477,0.2455,0.0146,0,4.58E-03
N111,0.243,0.505,0.2462,0.0147,0,4.58E-03
N113,0.243,0.508,0.2502,0.0149,0,4.58E-03
N114,0.243,0.5,0.1,0.006,0,4.58E-03
N116,0.243,0.5,0.1,0.006,0,4.58E-03
N117,0.243,0.5,0.1,0.006,0,4.58E-03
N118,0.544,0.5,0.1,0.0133,0,2.29E-02
N119,0.544,0.5,0.1,0.0133,0,2.29E-02
N12,0.243,0.246,0.0965,0.0057,0,4.58E-03
N120,0.243,0.5,0.1,0.006,0,4.58E-03
N121,0.243,0.5,0.1,0.006,0,4.58E-03
N122,0.243,0.5,0.1,0.006,0,4.58E-03
N123,0.544,0.5,0.1,0.0133,0,2.29E-02
N124,0.243,0.5,0.1,0.006,0,4.58E-03
N125,0.243,0.5,0.1,0.006,0,4.58E-03
N126,0.243,0.5,0.1,0.006,0,4.58E-03
N127,0.544,0.5,0.1,0.0133,0,2.29E-02
N128,0.243,0.5,0.1,0.006,0,4.58E-03
N129,0.243,0.5,0.1,0.006,0,4.58E-03
N13,0.243,0.453,0.1363,0.0081,0,4.58E-03
N130,0.243,0.5,0.1,0.006,0,4.58E-03
N131,0.544,0.5,0.1,0.0133,0,2.29E-02
N132,0.243,0.5,0.1,0.006,0,4.58E-03
N133,0.243,0.5,0.1,0.006,0,4.58E-03
N134,0.243,0.5,0.1,0.006,0,4.58E-03
N135,0.544,0.5,0.1,0.0133,0,2.29E-02
N136,0.243,0.5,0.1,0.006,0,4.58E-03
N137,0.243,0.5,0.1,0.006,0,4.58E-03
N138,0.243,0.5,0.1,0.006,0,4.58E-03
N139,0.544,0.5,0.1,0.0133,0,2.29E-02
N140,0.243,0.5,0.1,0.006,0,4.58E-03
N141,0.243,0.5,0.1,0.006,0,4.58E-03
N142,0.243,0.5,0.1,0.006,0,4.58E-03
N143,0.544,0.5,0.1,0.0133,0,2.29E-02
N144,0.243,0.5,0.1,0.006,0,4.58E-03
N145,0.243,0.5,0.1,0.006,0,4.58E-03
N146,0.243,0.5,0.1,0.006,0,4.58E-03
N147,0.544,0.5,0.1,0.0133,0,2.29E-02
N148,0.243,0.5,0.1,0.006,0,4.58E-03
N149,0.243,0.5,0.1,0.006,0,4.58E-03
N15,0.243,0.436,0.1291,0.0077,0,4.58E-03
N150,0.544,0.5,0.1,0.0133,0,2.29E-02
N151,0.544,0.5,0.1,0.0133,0,2.29E-02
N152,0.243,0.5,0.1,0.006,0,4.58E-03
N153,0.243,0.5,0.1,0.006,0,4.58E-03
N154,0.544,0.751,0.0957,0.0127,0,2.29E-02
N155,0.243,0.5,0.1,0.006,0,4.58E-03
N156,0.243,0.5,0.1,0.006,0,4.58E-03
N157,0.243,0.251,0.0944,0.0056,0,4.58E-03
N158,0.243,0.248,0.0968,0.0058,0,4.58E-03
N159,0.544,0.738,0.0984,0.0131,0,2.29E-02
N16,0.243,0.447,0.1338,0.008,0,4.58E-03
N160,0.243,0.5,0.1,0.006,0,4.58E-03
N161,0.243,0.5,0.1,0.006,0,4.58E-03
N162,0.544,0.76,0.0948,0.0126,0,2.29E-02
N163,0.243,0.5,0.1,0.006,0,4.58E-03
N164,0.243,0.5,0.1,0.006,0,4.58E-03
N165,0.544,0.743,0.0977,0.013,0,2.29E-02
N166,0.243,0.5,0.1,0.006,0,4.58E-03
N167,0.243,0.5,0.1,0.006,0,4.58E-03
N168,0.544,0.752,0.0952,0.0127,0,2.29E-02
N169,0.243,0.5,0.1,0.006,0,4.58E-03
N170,0.243,0.5,0.1,0.006,0,4.58E-03
N171,0.544,0.746,0.0966,0.0129,0,2.29E-02
N172,0.243,0.5,0.1,0.006,0,4.58E-03
N173,0.243,0.5,0.1,0.006,0,4.58E-03
N174,0.544,0.744,0.1013,0.0135,0,2.29E-02
N175,0.243,0.5,0.1,0.006,0,4.58E-03
N176,0.243,0.5,0.1,0.006,0,4.58E-03
N177,0.544,0.755,0.0964,0.0128,0,2.29E-02
N178,0.243,0.5,0.1,0.006,0,4.58E-03
N179,0.243,0.857,0.1113,0.0066,0,4.58E-03
N18,0.243,0.451,0.1325,0.0079,0,4.58E-03
N180,0.544,0.754,0.0965,0.0128,0,2.29E-02
N181,0.243,0.917,0.0857,0.0051,0,4.58E-03
N182,0.243,0.248,0.0247,0.0015,0,4.58E-03
N183,0.243,0.255,0.0962,0.0057,0,4.58E-03
N184,0.243,0.254,0.099,0.0059,0,4.58E-03
N185,0.243,0.245,0.0961,0.0057,0,4.58E-03
N186,0.243,0.233,0.0944,0.0056,0,4.58E-03
N187,0.243,0.259,0.1012,0.006,0,4.58E-03
N188,0.243,0.263,0.0996,0.0059,0,4.58E-03
N189,0.243,0.245,0.0963,0.0057,0,4.58E-03
N19,0.243,0.441,0.1318,0.0079,0,4.58E-03
N190,0.243,0.25,0.0963,0.0057,0,4.58E-03
N191,0.243,0.251,0.0969,0.0058,0,4.58E-03
N192,0.243,0.262,0.0961,0.0057,0,4.58E-03
N193,0.243,0.259,0.1009,0.006,0,4.58E-03
N194,0.243,0.265,0.0997,0.0059,0,4.58E-03
N195,0.243,0.259,0.0989,0.0059,0,4.58E-03
N196,0.243,0.245,0.0952,0.0057,0,4.58E-03
N197,0.243,0.243,0.0967,0.0058,0,4.58E-03
N198,0.243,0.248,0.1001,0.006,0,4.58E-03
N199,0.243,0.077,0.0773,0.0046,0,4.58E-03
N2,0.243,0.262,0.0984,0.0059,0,4.58E-03
N20,0.243,0.448,0.1332,0.0079,0,4.58E-03
N200,0.243,0.248,0.0247,0.0015,0,4.58E-03
N22,0.243,0.445,0.1383,0.0082,0,4.58E-03
N223,0.243,0.716,0.1009,0.006,1,4.58E-03
N224,0.544,0.326,0.1533,0.0204,0,2.29E-02
N227,0.544,0.339,0.1566,0.0209,0,2.29E-02
N23,0.243,0.452,0.1356,0.0081,0,4.58E-03
N230,0.544,0.317,0.1533,0.0204,0,2.29E-02
N233,0.544,0.334,0.1556,0.0207,0,2.29E-02
N236,0.544,0.326,0.1529,0.0204,0,2.29E-02
N239,0.544,0.331,0.1544,0.0206,0,2.29E-02
N242,0.243,0.547,0.1363,0.0081,0,4.58E-03
N243,0.544,0.333,0.1567,0.0209,0,2.29E-02
N246,0.243,0.564,0.1291,0.0077,0,4.58E-03
N247,0.544,0.323,0.1559,0.0208,0,2.29E-02
N25,0.243,0.452,0.1325,0.0079,0,4.58E-03
N250,0.243,0.553,0.1338,0.008,0,4.58E-03
N251,0.544,0.324,0.1553,0.0207,0,2.29E-02
N254,0.243,0.549,0.1325,0.0079,0,4.58E-03
N255,0.243,0.559,0.1318,0.0079,0,4.58E-03
N256,0.243,0.552,0.1332,0.0079,0,4.58E-03
N257,0.243,0.555,0.1383,0.0082,0,4.58E-03
N258,0.243,0.548,0.1356,0.0081,0,4.58E-03
N259,0.243,0.548,0.1325,0.0079,0,4.58E-03
N26,0.243,0.141,0.0824,0.0049,0,4.58E-03
